Radius;discrGrade;pointsCount;routedDist;Time;Latitude;Longtitude
200;4;285;184,7;844;52,5;13,48
200;5;260;184,7;894;52,5;13,48
200;6;236;184,7;914;52,5;13,48
200;7;230;184,7;1013;52,5;13,48
200;8;201;184,7;836;52,5;13,48
200;9;200;184,7;2463;52,5;13,48
200;10;198;184,7;1159;52,5;13,48
200;11;197;184,7;1417;52,5;13,48
200;12;196;184,7;952;52,5;13,48
200;13;196;184,7;1097;52,5;13,48
200;14;195;184,7;1129;52,5;13,48
300;1;172;179,4;472;52,5;13,49
300;2;96;179,4;315;52,5;13,49
300;3;70;179,4;326;52,5;13,49
300;4;59;179,4;326;52,5;13,49
300;5;52;179,4;255;52,5;13,49
300;6;48;179,4;308;52,5;13,49
300;7;44;179,4;306;52,5;13,49
300;8;42;179,4;292;52,5;13,49
300;9;41;179,4;300;52,5;13,49
300;10;40;179,4;285;52,5;13,49
300;11;39;179,4;252;52,5;13,49
300;12;39;179,4;235;52,5;13,49
300;13;39;179,4;260;52,5;13,49
300;14;39;179,4;249;52,5;13,49
200;1;1522;73;1185;52,5;13,5
200;2;815;73;1122;52,5;13,5
200;3;586;73;1201;52,5;13,5
200;4;471;73;1136;52,5;13,5
200;5;410;73;1152;52,5;13,5
200;6;371;73;1161;52,5;13,5
200;7;348;73;1090;52,5;13,5
200;8;316;73;1284;52,5;13,5
200;9;309;73;1241;52,5;13,5
200;10;299;73;1275;52,5;13,5
200;11;293;73;1099;52,5;13,5
200;12;291;73;1171;52,5;13,5
200;13;288;73;1166;52,5;13,5
200;14;283;73;1120;52,5;13,5
200;1;415;24;183;52,5;13,51
200;2;209;24;141;52,5;13,51
200;3;139;24;170;52,5;13,51
200;4;103;24;129;52,5;13,51
200;5;83;24;134;52,5;13,51
200;6;71;24;149;52,5;13,51
200;7;62;24;133;52,5;13,51
200;8;54;24;139;52,5;13,51
200;9;50;24;147;52,5;13,51
200;10;43;24;146;52,5;13,51
200;11;40;24;131;52,5;13,51
200;12;37;24;123;52,5;13,51
200;13;36;24;199;52,5;13,51
200;14;34;24;237;52,5;13,51
200;1;1486;16,7;2556;52,51;13,3
200;2;1000;16,7;2500;52,51;13,3
200;3;842;16,7;2854;52,51;13,3
200;4;772;16,7;2591;52,51;13,3
200;5;728;16,7;2485;52,51;13,3
200;6;699;16,7;2560;52,51;13,3
200;7;682;16,7;2398;52,51;13,3
200;8;668;16,7;2321;52,51;13,3
200;9;656;16,7;2457;52,51;13,3
200;10;647;16,7;2480;52,51;13,3
200;11;643;16,7;2738;52,51;13,3
200;12;636;16,7;2479;52,51;13,3
200;13;631;16,7;2323;52,51;13,3
200;14;630;16,7;2366;52,51;13,3
200;1;1205;9,6;392;52,51;13,31
200;2;595;9,6;347;52,51;13,31
200;3;398;9,6;314;52,51;13,31
200;4;298;9,6;299;52,51;13,31
200;5;239;9,6;364;52,51;13,31
200;6;204;9,6;340;52,51;13,31
200;7;173;9,6;314;52,51;13,31
200;8;158;9,6;343;52,51;13,31
200;9;140;9,6;309;52,51;13,31
200;10;126;9,6;352;52,51;13,31
200;11;116;9,6;398;52,51;13,31
200;12;109;9,6;324;52,51;13,31
200;13;101;9,6;326;52,51;13,31
200;14;99;9,6;358;52,51;13,31
300;1;1548;391,6;891;52,51;13,32
300;2;795;391,6;765;52,51;13,32
300;3;551;391,6;728;52,51;13,32
300;4;432;391,6;751;52,51;13,32
300;5;358;391,6;812;52,51;13,32
300;6;312;391,6;800;52,51;13,32
300;7;282;391,6;764;52,51;13,32
300;8;256;391,6;761;52,51;13,32
300;9;240;391,6;757;52,51;13,32
300;10;220;391,6;789;52,51;13,32
300;11;213;391,6;735;52,51;13,32
300;12;204;391,6;794;52,51;13,32
300;13;194;391,6;873;52,51;13,32
300;14;190;391,6;871;52,51;13,32
400;1;683;296,4;920;52,51;13,33
400;2;409;296,4;959;52,51;13,33
400;3;318;296,4;987;52,51;13,33
400;4;274;296,4;859;52,51;13,33
400;5;246;296,4;837;52,51;13,33
400;6;229;296,4;902;52,51;13,33
400;7;219;296,4;810;52,51;13,33
400;8;206;296,4;858;52,51;13,33
400;9;201;296,4;850;52,51;13,33
400;10;197;296,4;893;52,51;13,33
400;11;191;296,4;814;52,51;13,33
400;12;188;296,4;855;52,51;13,33
400;13;185;296,4;848;52,51;13,33
400;14;184;296,4;810;52,51;13,33
600;1;735;654;1543;52,51;13,34
600;2;443;654;1531;52,51;13,34
600;3;350;654;1406;52,51;13,34
600;4;313;654;1544;52,51;13,34
600;5;289;654;1785;52,51;13,34
600;6;279;654;1546;52,51;13,34
600;7;271;654;1544;52,51;13,34
600;8;269;654;1730;52,51;13,34
600;9;267;654;2156;52,51;13,34
600;10;264;654;1574;52,51;13,34
600;11;264;654;1401;52,51;13,34
600;12;264;654;1382;52,51;13,34
600;13;262;654;1470;52,51;13,34
600;14;262;654;1399;52,51;13,34
300;1;334;255;668;52,51;13,35
300;2;210;255;712;52,51;13,35
300;3;170;255;667;52,51;13,35
